Zip,PC
36105.0,-0.7244883422764614
44049.0,-0.5885186814749632
71103.0,-0.5854488685109914
43604.0,-0.5771991320313804
29849.0,-0.5290494853352857
17948.0,-0.5058504947847018
29856.0,-0.5050068337308254
61321.0,-0.48974889462431065
62553.0,-0.47311433482872833
27242.0,-0.46232469169538887
27944.0,-0.45737381828146245
46379.0,-0.45661996476383376
48649.0,-0.43788823012514266
31201.0,-0.426778295196375
15450.0,-0.4220780146901519
55366.0,-0.41859241294101496
70083.0,-0.418428243776467
71108.0,-0.41543975543764716
49239.0,-0.4129155189978493
45372.0,-0.4009152090649279
58064.0,-0.39955074392084416
31903.0,-0.39346537624728034
21864.0,-0.392673816832788
4625.0,-0.39111408781690365
16503.0,-0.38270085207055066
72052.0,-0.38094317167509667
15695.0,-0.3799238065712361
19013.0,-0.37834337154329384
50227.0,-0.37321260477834056
22509.0,-0.37294497258034176
49282.0,-0.36791996127158305
6750.0,-0.3669641044074158
15781.0,-0.36022138188374947
25878.0,-0.3600744275488765
15366.0,-0.3586906584992343
6336.0,-0.35840662248583594
60958.0,-0.35571283011593646
62279.0,-0.3553475713055795
16826.0,-0.3539787636254197
25149.0,-0.35135409013756236
18425.0,-0.350323354163639
62292.0,-0.34744328230003535
51545.0,-0.34622084779408785
61770.0,-0.3448847090984727
26050.0,-0.3429806773809723
72384.0,-0.3415195702225633
4750.0,-0.33911692666809135
27919.0,-0.33865841263974866
54933.0,-0.33807993273390563
4493.0,-0.3374339944285061
61102.0,-0.3360405689156531
36773.0,-0.3352504260205972
40202.0,-0.3344264782947887
24927.0,-0.3340329280758607
7844.0,-0.33297707315721925
5776.0,-0.3287749664178283
38378.0,-0.3276046043871991
21669.0,-0.3258349832083456
43457.0,-0.31937817653770356
32697.0,-0.31889946929204127
36871.0,-0.31809594369327654
15028.0,-0.31625070778344005
6762.0,-0.3150297509733343
56022.0,-0.31450921019429723
15483.0,-0.3142362542247135
66728.0,-0.3140761338575127
49917.0,-0.3140639995046797
61328.0,-0.3127389948187881
21675.0,-0.30869665325802825
26209.0,-0.3083413171802083
14756.0,-0.30679292919108364
35212.0,-0.3058042398521318
62812.0,-0.30448990385523506
25387.0,-0.3044319918492104
21672.0,-0.30409411139173204
89311.0,-0.3036501746731711
26572.0,-0.3026582792207792
67512.0,-0.3007350788244903
4568.0,-0.3003229412056
62289.0,-0.2986822127924631
10117.0,-0.2985769986895166
33493.0,-0.2976532230542228
40988.0,-0.2961835334476844
38105.0,-0.29321431593197395
48807.0,-0.2919251236737437
73014.0,-0.2914835514402889
62092.0,-0.29099094061066993
5904.0,-0.29068784857191143
15492.0,-0.2903600813765872
24612.0,-0.28909880630562224
4760.0,-0.2887804127532502
15361.0,-0.28804516491135396
71415.0,-0.2862519809825674
67142.0,-0.2860509200590681
25173.0,-0.285896701153239
61044.0,-0.28496452383499127
17103.0,-0.2846766755482681
87064.0,-0.2819812132952065
21613.0,-0.2800890654031045
45713.0,-0.27998780859494055
67344.0,-0.2779226618705036
15432.0,-0.27668603382974083
87548.0,-0.2745627776390371
25035.0,-0.273661873443081
35677.0,-0.2735399284862932
4783.0,-0.272402439480675
36108.0,-0.27194237625203116
46796.0,-0.27032007546673104
16121.0,-0.2691451705207826
79901.0,-0.26909699406873955
82831.0,-0.26893975055869107
15733.0,-0.2688351403947734
17954.0,-0.26869420651270376
34141.0,-0.26577669044807567
74572.0,-0.2653491499957591
61603.0,-0.2651997275908226
18223.0,-0.26518411658271795
